"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 17, 2021","4,168.85","3,827.55","4,366.91","3,664.63","4.80M","8.92%"
"Oct 10, 2021","3,827.55","3,574.52","3,967.43","3,381.43","4.74M","7.09%"
"Oct 03, 2021","3,574.20","3,388.83","3,668.35","3,273.22","5.38M","5.47%"
"Sep 26, 2021","3,388.97","2,922.47","3,467.95","2,740.12","7.07M","15.96%"
"Sep 19, 2021","2,922.55","3,435.92","3,455.67","2,659.71","9.60M","-14.94%"
"Sep 12, 2021","3,435.97","3,267.33","3,672.68","3,118.66","5.35M","5.16%"
"Sep 05, 2021","3,267.33","3,885.40","3,981.22","3,061.30","8.18M","-15.90%"
"Aug 29, 2021","3,884.97","3,243.96","4,024.89","3,145.53","7.84M","19.76%"
"Aug 22, 2021","3,243.90","3,224.17","3,375.42","3,057.48","5.48M","0.62%"
"Aug 15, 2021","3,223.96","3,264.56","3,334.22","2,951.04","5.70M","-1.25%"
"Aug 08, 2021","3,264.69","3,158.30","3,328.38","2,899.24","7.31M","3.38%"
"Aug 01, 2021","3,158.00","2,530.94","3,169.74","2,445.49","7.30M","24.71%"
"Jul 25, 2021","2,532.19","2,166.98","2,551.68","2,108.74","7.54M","17.67%"
"Jul 18, 2021","2,151.85","1,898.01","2,162.29","1,720.70","7.25M","13.38%"
"Jul 11, 2021","1,897.98","2,110.90","2,173.34","1,851.97","4.92M","-10.10%"
"Jul 04, 2021","2,111.12","2,224.70","2,402.68","2,066.09","9.93M","-5.11%"
"Jun 27, 2021","2,224.70","1,830.42","2,281.55","1,808.59","11.33M","21.53%"
"Jun 20, 2021","1,830.62","2,166.30","2,276.83","1,707.24","13.62M","-15.52%"
"Jun 13, 2021","2,166.91","2,368.68","2,637.90","2,142.74","9.96M","-8.51%"
"Jun 06, 2021","2,368.47","2,628.43","2,842.88","2,260.80","9.63M","-9.91%"
"May 30, 2021","2,628.98","2,276.97","2,889.19","2,181.93","16.66M","15.51%"
"May 23, 2021","2,276.07","2,292.68","2,908.37","1,739.91","19.94M","-0.68%"
"May 16, 2021","2,291.60","3,643.67","3,877.20","1,922.25","26.61M","-37.07%"
"May 09, 2021","3,641.65","3,905.69","4,366.10","3,539.96","15.99M","-6.76%"
"May 02, 2021","3,905.55","2,945.04","3,952.88","2,854.12","12.40M","32.63%"
"Apr 25, 2021","2,944.66","2,217.23","2,951.74","2,169.91","10.71M","32.89%"
"Apr 18, 2021","2,215.93","2,317.88","2,642.99","1,948.93","18.50M","-4.42%"
"Apr 11, 2021","2,318.33","2,133.89","2,544.54","2,103.73","14.66M","8.65%"
"Apr 04, 2021","2,133.79","2,007.82","2,197.73","1,939.64","14.71M","6.23%"
"Mar 28, 2021","2,008.59","1,712.89","2,144.11","1,661.92","14.28M","17.26%"
"Mar 21, 2021","1,713.01","1,804.60","1,815.85","1,546.48","11.16M","-5.08%"
"Mar 14, 2021","1,804.60","1,921.29","1,932.36","1,715.97","9.62M","-6.07%"
"Mar 07, 2021","1,921.13","1,650.94","1,943.36","1,634.73","10.86M","16.49%"
"Feb 28, 2021","1,649.19","1,458.84","1,670.01","1,294.79","11.79M","13.04%"
"Feb 21, 2021","1,458.93","1,912.97","1,974.99","1,370.45","15.77M","-23.77%"
"Feb 14, 2021","1,913.88","1,815.44","2,040.79","1,661.09","10.99M","5.42%"
"Feb 07, 2021","1,815.49","1,676.62","1,871.36","1,491.68","13.12M","8.28%"
"Jan 31, 2021","1,676.63","1,377.05","1,760.09","1,272.09","14.22M","21.76%"
"Jan 24, 2021","1,376.96","1,233.41","1,474.68","1,210.40","17.87M","11.64%"
"Jan 17, 2021","1,233.40","1,228.33","1,437.42","1,045.02","17.28M","0.42%"
"Jan 10, 2021","1,228.27","1,275.87","1,347.98","917.96","19.35M","-3.71%"
"Jan 03, 2021","1,275.58","774.54","1,301.75","769.57","24.32M","64.70%"
"Dec 27, 2020","774.50","636.35","787.26","627.12","13.07M","21.67%"
"Dec 20, 2020","636.58","657.79","661.04","554.09","13.54M","-3.28%"
"Dec 13, 2020","658.17","568.07","675.68","563.37","17.51M","15.92%"
"Dec 06, 2020","567.78","596.61","606.90","530.88","112.41M","-4.84%"
"Nov 29, 2020","596.68","537.89","635.66","530.71","246.34M","10.96%"
"Nov 22, 2020","537.74","551.90","621.70","484.03","167.78M","-2.57%"
"Nov 15, 2020","551.91","460.75","552.13","440.44","114.89M","19.80%"
"Nov 08, 2020","460.70","435.39","477.78","432.44","99.07M","5.81%"
"Nov 01, 2020","435.40","386.36","467.88","370.96","47.80M","12.68%"
"Oct 25, 2020","386.42","412.44","417.07","374.36","36.94M","-6.19%"
"Oct 18, 2020","411.92","368.61","420.12","367.16","61.61M","11.74%"
"Oct 11, 2020","368.63","370.28","394.58","362.65","54.73M","-0.41%"
"Oct 04, 2020","370.16","345.60","377.97","334.11","45.40M","7.10%"
"Sep 27, 2020","345.60","354.26","369.10","335.91","48.18M","-2.44%"
"Sep 20, 2020","354.25","385.33","385.39","315.54","67.78M","-8.05%"
"Sep 13, 2020","385.25","388.06","393.96","353.85","69.03M","-0.71%"
"Sep 06, 2020","387.98","334.91","388.12","316.69","116.20M","15.85%"
"Aug 30, 2020","334.91","398.80","488.24","314.13","137.06M","-16.02%"
"Aug 23, 2020","398.80","395.56","410.17","370.40","46.14M","0.82%"
"Aug 16, 2020","395.56","432.22","444.86","379.96","53.12M","-8.47%"
"Aug 09, 2020","432.18","396.78","443.74","367.05","59.91M","8.93%"
"Aug 02, 2020","396.76","387.15","415.08","335.76","69.12M","2.49%"
"Jul 26, 2020","387.14","305.32","392.37","300.33","67.80M","26.80%"
"Jul 19, 2020","305.32","235.72","308.57","233.35","48.08M","29.51%"
"Jul 12, 2020","235.75","239.20","245.04","230.44","47.89M","-1.44%"
"Jul 05, 2020","239.20","229.09","248.76","223.79","56.72M","4.39%"
"Jun 28, 2020","229.15","221.07","232.47","218.46","42.17M","3.66%"
"Jun 21, 2020","221.06","228.87","249.23","217.11","46.55M","-3.41%"
"Jun 14, 2020","228.86","238.23","238.48","219.06","44.84M","-3.93%"
"Jun 07, 2020","238.22","242.00","249.77","227.01","55.72M","-1.56%"
"May 31, 2020","242.00","243.63","253.21","227.95","69.61M","-0.67%"
"May 24, 2020","243.63","206.65","246.55","197.30","79.23M","17.91%"
"May 17, 2020","206.62","200.51","217.00","192.11","97.96M","3.05%"
"May 10, 2020","200.51","210.19","210.19","177.43","149.67M","-4.62%"
"May 03, 2020","210.22","213.96","218.74","195.25","167.36M","-1.75%"
"Apr 26, 2020","213.96","194.01","227.05","190.87","182.28M","10.28%"
"Apr 19, 2020","194.01","187.47","197.35","167.51","172.27M","3.50%"
"Apr 12, 2020","187.45","158.18","189.22","148.91","162.42M","18.51%"
"Apr 05, 2020","158.18","144.03","175.78","140.84","193.42M","9.84%"
"Mar 29, 2020","144.01","131.02","148.91","124.84","149.27M","9.91%"
"Mar 22, 2020","131.03","132.59","142.90","120.20","159.16M","-1.17%"
"Mar 15, 2020","132.58","122.67","151.85","102.44","230.26M","8.06%"
"Mar 08, 2020","122.69","237.30","237.30","88.50","267.66M","-48.30%"
"Mar 01, 2020","237.32","217.51","251.55","213.00","121.65M","9.10%"
"Feb 23, 2020","217.52","261.65","276.81","210.36","162.44M","-16.86%"
"Feb 16, 2020","261.64","264.87","285.75","237.89","151.56M","-1.22%"
"Feb 09, 2020","264.87","223.23","287.93","217.02","137.45M","18.65%"
"Feb 02, 2020","223.23","183.58","227.55","183.58","101.65M","21.56%"
"Jan 26, 2020","183.64","160.40","186.76","159.55","82.70M","14.46%"
"Jan 19, 2020","160.44","174.17","177.77","155.65","94.49M","-7.89%"
"Jan 12, 2020","174.19","142.65","179.80","142.00","113.12M","22.09%"
"Jan 05, 2020","142.67","134.32","147.68","134.32","92.34M","6.21%"
"Dec 29, 2019","134.33","128.35","137.74","126.05","94.22M","4.66%"
"Dec 22, 2019","128.35","127.61","134.92","123.18","93.43M","0.58%"
"Dec 15, 2019","127.61","142.03","143.87","117.14","104.63M","-10.16%"
"Dec 08, 2019","142.03","148.25","152.22","140.00","75.02M","-4.21%"
"Dec 01, 2019","148.28","151.93","152.33","143.95","68.17M","-2.42%"
"Nov 24, 2019","151.95","152.46","157.27","131.78","83.98M","-0.33%"
"Nov 17, 2019","152.46","182.39","185.97","139.13","91.26M","-16.42%"
"Nov 10, 2019","182.42","184.96","191.28","178.29","71.29M","-1.38%"
"Nov 03, 2019","184.96","183.01","194.11","179.46","80.29M","1.06%"
"Oct 27, 2019","183.01","179.61","192.28","176.47","89.26M","1.89%"
"Oct 20, 2019","179.62","171.93","192.54","154.42","73.16M","4.49%"
"Oct 13, 2019","171.91","179.86","187.67","169.28","73.98M","-4.43%"
"Oct 06, 2019","179.87","176.44","195.87","168.74","78.51M","1.95%"
"Sep 29, 2019","176.43","173.62","184.95","164.97","67.69M","1.62%"
"Sep 22, 2019","173.62","215.23","215.64","153.17","85.82M","-19.33%"
"Sep 15, 2019","215.22","188.17","223.35","185.92","69.27M","14.38%"
"Sep 08, 2019","188.16","177.76","188.54","174.86","59.26M","5.86%"
"Sep 01, 2019","177.74","171.62","182.59","166.16","60.98M","3.56%"
"Aug 25, 2019","171.62","190.16","193.09","164.04","57.67M","-9.74%"
"Aug 18, 2019","190.15","184.83","202.81","175.80","67.00M","2.89%"
"Aug 11, 2019","184.81","205.92","216.23","106.01","82.86M","-10.26%"
"Aug 04, 2019","205.93","220.89","237.47","202.35","60.50M","-6.78%"
"Jul 28, 2019","220.89","206.64","223.00","199.68","51.56M","6.91%"
"Jul 21, 2019","206.62","227.83","228.76","202.30","57.79M","-9.32%"
"Jul 14, 2019","227.86","269.12","269.62","192.91","85.63M","-15.34%"
"Jul 07, 2019","269.16","288.11","317.94","262.85","65.42M","-6.57%"
"Jun 30, 2019","288.08","318.26","323.21","273.07","60.28M","-9.55%"
"Jun 23, 2019","318.48","310.39","364.89","279.82","75.19M","2.61%"
"Jun 16, 2019","310.38","267.74","314.00","261.76","58.55M","15.92%"
"Jun 09, 2019","267.75","243.43","271.61","227.00","51.83M","9.99%"
"Jun 02, 2019","243.42","264.26","272.64","235.35","58.74M","-7.90%"
"May 26, 2019","264.31","250.69","287.99","241.51","92.00M","5.44%"
"May 19, 2019","250.68","233.87","263.05","231.89","80.76M","7.18%"
"May 12, 2019","233.89","192.17","278.52","182.81","138.47M","21.65%"
"May 05, 2019","192.27","163.67","204.72","159.56","81.71M","17.47%"
"Apr 28, 2019","163.68","159.43","171.04","152.60","64.81M","2.68%"
"Apr 21, 2019","159.41","172.89","175.92","151.73","71.77M","-7.71%"
"Apr 14, 2019","172.73","163.19","176.71","153.65","57.15M","5.84%"
"Apr 07, 2019","163.19","165.58","185.54","158.93","72.32M","-1.42%"
"Mar 31, 2019","165.55","142.65","177.29","140.26","138.31M","16.05%"
"Mar 24, 2019","142.65","137.53","145.85","132.36","81.55M","3.73%"
"Mar 17, 2019","137.53","141.15","141.87","133.05","77.10M","-2.56%"
"Mar 10, 2019","141.15","137.52","143.95","129.14","78.47M","2.63%"
"Mar 03, 2019","137.52","132.77","168.42","123.25","94.15M","3.59%"
"Feb 24, 2019","132.76","158.31","165.79","128.15","88.08M","-16.14%"
"Feb 17, 2019","158.30","122.88","159.31","122.78","59.72M","28.84%"
"Feb 10, 2019","122.87","119.44","126.17","116.42","41.65M","2.87%"
"Feb 03, 2019","119.44","110.67","122.58","102.28","44.09M","7.91%"
"Jan 27, 2019","110.68","115.83","116.24","101.60","38.12M","-4.45%"
"Jan 20, 2019","115.83","123.00","123.52","112.36","31.96M","-5.85%"
"Jan 13, 2019","123.02","123.75","130.30","112.79","23.75M","-0.59%"
"Jan 06, 2019","123.75","153.48","158.29","121.28","26.22M","-19.37%"
"Dec 30, 2018","153.49","133.64","159.78","129.51","30.58M","14.83%"
"Dec 23, 2018","133.67","115.85","158.27","112.59","44.99M","15.40%"
"Dec 16, 2018","115.84","83.90","118.67","83.89","35.27M","38.06%"
"Dec 09, 2018","83.90","90.56","98.76","81.97","28.22M","-7.36%"
"Dec 02, 2018","90.57","118.23","127.08","77.65","30.17M","-23.40%"
"Nov 25, 2018","118.23","114.42","126.60","102.80","34.99M","3.32%"
"Nov 18, 2018","114.43","176.53","182.07","111.79","30.94M","-35.18%"
"Nov 11, 2018","176.53","213.19","214.95","171.99","297.50M","-17.20%"
"Nov 04, 2018","213.21","200.27","224.64","199.38","212.10M","6.48%"
"Oct 28, 2018","200.23","204.36","205.79","193.00","96.58M","-2.02%"
"Oct 21, 2018","204.36","207.76","211.65","202.99","122.69M","-1.77%"
"Oct 14, 2018","208.04","201.22","235.83","195.40","160.37M","3.39%"
"Oct 07, 2018","201.22","225.19","232.66","188.65","11.42M","-10.64%"
"Sep 30, 2018","225.18","231.90","238.64","216.44","56.46M","-2.88%"
"Sep 23, 2018","231.87","240.82","249.02","204.84","42.56M","-3.71%"
"Sep 16, 2018","240.82","221.94","254.36","192.87","41.16M","8.50%"
"Sep 09, 2018","221.94","196.69","259.37","169.08","43.33M","12.78%"
"Sep 02, 2018","196.79","295.32","299.38","191.16","37.21M","-33.36%"
"Aug 26, 2018","295.31","277.61","301.92","269.75","32.61M","6.37%"
"Aug 19, 2018","277.61","293.90","306.30","266.40","29.14M","-5.54%"
"Aug 12, 2018","293.89","317.63","327.51","250.84","28.52M","-7.46%"
"Aug 05, 2018","317.59","407.11","413.40","305.19","10.62M","-21.98%"
"Jul 29, 2018","407.09","468.89","471.78","398.10","9.64M","-13.16%"
"Jul 22, 2018","468.78","461.51","484.97","448.14","8.61M","1.57%"
"Jul 15, 2018","461.52","434.09","515.20","432.59","9.70M","6.32%"
"Jul 08, 2018","434.09","485.40","494.03","418.71","9.95M","-10.57%"
"Jul 01, 2018","485.40","452.72","486.18","442.29","11.76M","7.23%"
"Jun 24, 2018","452.67","474.14","475.74","406.12","19.89M","-4.53%"
"Jun 17, 2018","474.14","496.95","547.50","450.72","7.04M","-4.59%"
"Jun 10, 2018","496.93","593.80","593.82","450.67","9.19M","-16.31%"
"Jun 03, 2018","593.80","591.33","627.51","577.53","5.11M","0.42%"
"May 27, 2018","591.30","586.63","598.78","507.72","7.42M","0.77%"
"May 20, 2018","586.76","696.73","722.92","547.39","7.28M","-15.79%"
"May 13, 2018","696.76","684.77","741.52","658.25","7.00M","1.87%"
"May 06, 2018","683.94","818.75","838.26","635.23","9.45M","-16.42%"
"Apr 29, 2018","818.33","683.49","830.03","630.33","7.47M","19.73%"
"Apr 22, 2018","683.49","605.58","711.74","591.78","9.39M","12.86%"
"Apr 15, 2018","605.59","502.52","623.86","498.87","7.30M","20.51%"
"Apr 08, 2018","502.52","384.85","528.71","384.85","7.87M","30.57%"
"Apr 01, 2018","384.87","394.10","418.78","359.49","6.45M","-2.31%"
"Mar 25, 2018","393.96","520.44","535.11","366.12","9.05M","-24.30%"
"Mar 18, 2018","520.45","549.96","589.83","454.90","8.50M","-5.42%"
"Mar 11, 2018","550.27","682.77","739.25","544.51","5.37M","-19.38%"
"Mar 04, 2018","682.52","855.91","870.27","644.46","5.08M","-20.26%"
"Feb 25, 2018","855.91","834.10","894.78","818.46","3.63M","2.58%"
"Feb 18, 2018","834.36","971.57","980.27","787.95","5.61M","-14.12%"
"Feb 11, 2018","971.54","851.44","972.86","778.90","5.82M","14.11%"
"Feb 04, 2018","851.39","971.49","972.66","568.78","13.83M","-12.36%"
"Jan 28, 2018","971.49","1,114.70","1,264.80","766.82","9.42M","-12.86%"
"Jan 21, 2018","1,114.80","1,146.30","1,146.30","905.38","4.35M","-2.72%"
"Jan 14, 2018","1,146.00","1,379.90","1,385.00","770.10","8.35M","-16.96%"
"Jan 07, 2018","1,380.00","1,004.30","1,423.20","968.12","7.31M","37.41%"
"Dec 31, 2017","1,004.30","682.22","1,023.60","675.56","6.23M","47.21%"
"Dec 24, 2017","682.22","672.59","766.06","560.00","5.52M","1.43%"
"Dec 17, 2017","672.59","683.25","863.00","492.01","10.27M","-1.56%"
"Dec 10, 2017","683.25","460.92","760.00","413.30","9.24M","48.24%"
"Dec 03, 2017","460.92","455.51","487.80","390.00","6.23M","1.19%"
"Nov 26, 2017","455.51","464.00","517.00","385.40","3.86M","-1.83%"
"Nov 19, 2017","464.00","346.68","481.99","343.28","4.74M","33.84%"
"Nov 12, 2017","346.68","313.07","350.40","293.33","4.59M","10.74%"
"Nov 05, 2017","313.07","299.48","328.80","285.01","5.48M","4.54%"
"Oct 29, 2017","299.48","293.49","314.40","275.21","3.84M","2.04%"
"Oct 22, 2017","293.49","299.23","311.85","273.50","2.71M","-1.92%"
"Oct 15, 2017","299.23","339.24","355.00","287.46","4.57M","-11.79%"
"Oct 08, 2017","339.24","311.46","350.00","287.03","4.29M","8.92%"
"Oct 01, 2017","311.46","303.44","315.00","285.12","2.80M","2.64%"
"Sep 24, 2017","303.44","285.90","315.51","275.41","4.37M","6.14%"
"Sep 17, 2017","285.90","253.00","299.89","239.00","5.70M","13.00%"
"Sep 10, 2017","253.00","303.08","316.73","198.00","10.66M","-16.52%"
"Sep 03, 2017","303.08","345.00","368.40","267.64","7.14M","-12.15%"
"Aug 27, 2017","345.00","332.72","395.03","325.10","3.93M","3.69%"
"Aug 20, 2017","332.72","292.78","346.99","285.01","3.74M","13.64%"
"Aug 13, 2017","292.78","307.22","312.00","272.29","3.71M","-4.70%"
"Aug 06, 2017","307.22","253.87","319.78","251.00","4.93M","21.01%"
"Jul 30, 2017","253.87","206.76","259.90","188.12","4.21M","22.78%"
"Jul 23, 2017","206.76","232.01","236.57","176.95","4.31M","-10.88%"
"Jul 16, 2017","232.01","170.15","258.00","136.12","11.92M","36.36%"
"Jul 09, 2017","170.15","245.23","249.00","169.00","6.37M","-30.62%"
"Jul 02, 2017","245.23","255.00","285.91","226.68","2.79M","-3.83%"
"Jun 25, 2017","255.00","296.89","318.27","204.11","5.59M","-14.11%"
"Jun 18, 2017","296.89","364.56","377.46","287.11","2.10M","-18.56%"
"Jun 11, 2017","364.56","325.88","412.21","265.00","4.43M","11.87%"
"Jun 04, 2017","325.88","217.01","341.94","216.10","2.23M","50.17%"
"May 28, 2017","217.01","149.99","230.55","149.66","3.16M","44.68%"
"May 21, 2017","149.99","123.03","206.06","110.42","6.35M","21.91%"
"May 14, 2017","123.03","89.90","129.25","83.77","2.71M","36.85%"
"May 07, 2017","89.90","96.65","98.00","77.76","2.07M","-6.98%"
"Apr 30, 2017","96.65","73.55","101.70","66.00","4.26M","31.41%"
"Apr 23, 2017","73.55","52.15","77.60","51.75","2.98M","41.04%"
"Apr 16, 2017","52.15","49.71","53.00","45.00","1.97M","4.91%"
"Apr 09, 2017","49.71","44.51","51.51","43.01","2.29M","11.68%"
"Apr 02, 2017","44.51","50.59","51.59","41.05","4.57M","-12.02%"
"Mar 26, 2017","50.59","50.75","54.30","46.55","3.54M","-0.32%"
"Mar 19, 2017","50.75","34.20","58.99","34.10","6.82M","48.39%"
"Mar 12, 2017","34.20","21.30","51.88","21.05","13.20M","60.56%"
"Mar 05, 2017","21.30","18.50","21.45","16.25","3.10M","15.14%"
"Feb 26, 2017","18.50","13.55","20.73","13.30","3.93M","36.53%"
"Feb 19, 2017","13.55","12.79","13.80","12.25","904.54K","5.94%"
"Feb 12, 2017","12.79","11.33","13.40","11.05","1.28M","12.89%"
"Feb 05, 2017","11.33","11.32","11.60","10.41","732.95K","0.09%"
"Jan 29, 2017","11.32","10.49","11.40","10.38","919.47K","7.71%"
"Jan 22, 2017","10.51","10.91","10.98","10.34","574.98K","-4.02%"
"Jan 15, 2017","10.95","9.67","11.09","9.53","609.65K","13.24%"
"Jan 08, 2017","9.67","9.80","10.84","9.08","716.75K","-1.73%"
"Jan 01, 2017","9.84","8.17","11.70","8.03","8.38M","23.00%"
"Dec 25, 2016","8.00","7.25","8.60","7.05","861.95K","10.34%"
"Dec 18, 2016","7.25","7.88","7.96","7.11","469.44K","-6.21%"
"Dec 11, 2016","7.73","8.14","8.63","7.47","489.40K","-4.80%"
"Dec 04, 2016","8.12","7.85","8.84","5.86","1.32M","2.65%"
"Nov 27, 2016","7.91","9.33","9.33","7.10","1.20M","-15.22%"
"Nov 20, 2016","9.33","9.68","10.26","8.70","361.91K","-4.11%"
"Nov 13, 2016","9.73","10.01","10.50","9.46","441.48K","-2.80%"
"Nov 06, 2016","10.01","11.15","11.27","9.70","327.51K","-10.38%"
"Oct 30, 2016","11.17","10.38","11.53","10.31","619.35K","7.61%"
"Oct 23, 2016","10.38","12.25","12.26","9.50","851.64K","-15.54%"
"Oct 16, 2016","12.29","12.01","12.91","11.81","603.90K","2.33%"
"Oct 09, 2016","12.01","12.26","12.56","11.60","846.39K","-2.04%"
"Oct 02, 2016","12.26","13.18","13.50","12.00","477.28K","-6.98%"
"Sep 25, 2016","13.18","12.86","13.49","12.77","378.16K","2.49%"
"Sep 18, 2016","12.86","12.73","15.40","12.26","1.34M","0.47%"
"Sep 11, 2016","12.80","12.13","12.87","11.60","1.37M","5.52%"
"Sep 04, 2016","12.13","11.88","12.18","11.26","560.81K","1.00%"
"Aug 28, 2016","12.01","11.11","12.60","10.78","410.28K","7.23%"
"Aug 21, 2016","11.20","11.26","11.42","10.90","354.94K","-0.53%"
"Aug 14, 2016","11.26","11.48","11.67","10.61","1.34M","-1.92%"
"Aug 07, 2016","11.48","10.16","12.33","10.16","1.12M","12.99%"
"Jul 31, 2016","10.16","12.45","12.55","9.90","1.62M","-18.85%"
"Jul 24, 2016","12.52","14.33","14.44","11.78","4.79M","-12.14%"
"Jul 17, 2016","14.25","11.72","15.15","11.01","5.90M","21.59%"
"Jul 10, 2016","11.72","10.83","12.55","10.20","1.72M","7.52%"
"Jul 03, 2016","10.90","12.06","12.11","9.35","3.05M","-10.21%"
"Jun 26, 2016","12.14","14.22","14.40","11.51","2.27M","-15.16%"
"Jun 19, 2016","14.31","10.76","15.90","10.51","6.07M","25.42%"
"Jun 12, 2016","11.41","14.30","21.69","10.13","11.77M","-19.36%"
"Jun 05, 2016","14.15","13.75","14.89","13.56","1.01M","2.46%"
"May 29, 2016","13.81","11.80","14.30","11.78","1.88M","15.28%"
"May 22, 2016","11.98","14.06","14.51","10.38","2.42M","-14.43%"
"May 15, 2016","14.00","10.25","14.89","9.93","2.20M","37.80%"
"May 08, 2016","10.16","9.41","11.11","9.00","744.33K","8.66%"
"May 01, 2016","9.35","8.74","10.30","8.35","756.64K","5.41%"
"Apr 24, 2016","8.87","8.35","9.36","7.12","867.38K","4.85%"
"Apr 17, 2016","8.46","8.70","10.90","7.73","569.35K","-0.94%"
"Apr 10, 2016","8.54","9.15","9.43","6.86","534.18K","-6.67%"
"Apr 03, 2016","9.15","11.61","11.76","9.00","292.70K","-21.19%"
"Mar 27, 2016","11.61","10.93","12.30","10.17","284.70K","5.55%"
"Mar 20, 2016","11.00","10.55","12.47","9.56","279.69K","6.69%"
"Mar 13, 2016","10.31","12.92","15.07","8.34","466.81K","-20.20%"
